CODIGO|NOME|CUNIFED|CodigoSagres|CodigoIBGE
0567|Poção de Pedras|MA|566|2108900
0568|Santo Antônio dos Lopes|MA|567|2110302
0569|São Luís Gonzaga do Maranhão|MA|568|2111409
0570|São Mateus do Maranhão|MA|569|2111508
0571|São Raimundo do Doca Bezerra|MA|570|2111631
0572|São Roberto|MA|571|2111672
0573|Satubinha|MA|572|2111722
0574|Trizidela do Vale|MA|573|2112233
0575|Arame|MA|574|2100956
0576|Barra do Corda|MA|575|2101608
0577|Fernando Falcão|MA|576|2104081
0578|Formosa da Serra Negra|MA|577|2104099
0579|Grajaú|MA|578|2104800
0580|Itaipava do Grajaú|MA|579|2105351
0581|Jenipapo dos Vieiras|MA|580|2105476
0582|Joselândia|MA|581|2105609
0583|Santa Filomena do Maranhão|MA|582|2109759
0584|Sítio Novo|MA|583|2111805
0585|Tuntum|MA|584|2112308
0586|Dom Pedro|MA|585|2103802
0587|Fortuna|MA|586|2104206
0588|Gonçalves Dias|MA|587|2104404
0589|Governador Archer|MA|588|2104503
0590|Governador Eugênio Barros|MA|589|2104602
0591|Governador Luiz Rocha|MA|590|2104628
0592|Graça Aranha|MA|591|2104701
0593|Presidente Dutra|MA|592|2109106
0594|São Domingos do Maranhão|MA|593|2110708
0595|São José dos Basílios|MA|594|2111250
0596|Senador Alexandre Costa|MA|595|2111748
0597|Água Doce do Maranhão|MA|596|2100154
0598|Araioses|MA|597|2100907
0599|Magalhães de Almeida|MA|598|2106300
0600|Santa Quitéria do Maranhão|MA|599|2110104
0601|Santana do Maranhão|MA|600|2110237
0602|São Bernardo|MA|601|2110609
0603|Anapurus|MA|602|2100808
0604|Belágua|MA|603|2101731
0605|Brejo|MA|604|2102101
0606|Buriti|MA|605|2102200
0607|Chapadinha|MA|606|2103208
0608|Mata Roma|MA|607|2106409
0609|Milagres do Maranhão|MA|608|2106672
0610|São Benedito do Rio Preto|MA|609|2110401
0611|Urbano Santos|MA|610|2112605
0612|Alto Alegre do Maranhão|MA|611|2100436
0613|Capinzal do Norte|MA|612|2102754
0614|Codó|MA|613|2103307
0615|Coroatá|MA|614|2103604
0616|Peritoró|MA|615|2108454
0617|Timbiras|MA|616|2112100
0618|Afonso Cunha|MA|617|2100105
0619|Aldeias Altas|MA|618|2100303
0620|Coelho Neto|MA|619|2103406
0621|Duque Bacelar|MA|620|2103901
0622|Buriti Bravo|MA|621|2102309
0623|Caxias|MA|622|2103000
0624|Matões|MA|623|2106607
0625|Parnarama|MA|624|2107803
0626|São João do Soter|MA|625|2111078
0627|Timon|MA|626|2112209
0628|Barão de Grajaú|MA|627|2101509
0629|Colinas|MA|628|2103505
0630|Jatobá MA|MA|629|2105450
0631|Lagoa do Mato|MA|630|2105922
0632|Mirador|MA|631|2106706
0633|Nova Iorque|MA|632|2107308
0634|Paraibano|MA|633|2107704
0635|Passagem Franca|MA|634|2107902
0636|Pastos Bons|MA|635|2108009
0637|São Francisco do Maranhão|MA|636|2110906
0638|São João dos Patos|MA|637|2111102
0639|Sucupira do Norte|MA|638|2111904
0640|Sucupira do Riachão|MA|639|2111953
0641|Campestre do Maranhão|MA|640|2102556
0642|Carolina|MA|641|2102804
0643|Estreito|MA|642|2104057
0644|Porto Franco|MA|643|2109007
0645|São João do Paraíso|MA|644|2111052
0646|São Pedro dos Crentes|MA|645|2111573
0647|Alto Parnaíba|MA|646|2100501
0648|Balsas|MA|647|2101400
0649|Feira Nova do Maranhão|MA|648|2104073
0650|Riachão|MA|649|2109502
0651|Tasso Fragoso|MA|650|2112001
0652|Benedito Leite|MA|651|2101806
0653|Fortaleza dos Nogueiras|MA|652|2104107
0654|Loreto|MA|653|2106102
0655|Nova Colinas|MA|654|2107258
0656|Sambaíba|MA|655|2109700
0657|São Domingos do Azeitão|MA|656|2110658
0658|São Félix de Balsas|MA|657|2110807
0659|São Raimundo das Mangabeiras|MA|658|2111607
P216|SÃO LUÍS|MA|5496|2111300
2035|Arinos|MG|2034|3104502
2036|Bonfinópolis de Minas|MG|2035|3108206
2037|Buritis|MG|2036|3109303
2038|Cabeceira Grande|MG|2037|3109451
2039|Dom Bosco|MG|2038|3122470
2040|Formoso|MG|2039|3126208
2041|Natalândia|MG|2040|3144375
2042|Unaí|MG|2041|3170404
2043|Uruana de Minas|MG|2042|3170479
2044|Brasilândia de Minas|MG|2043|3108552
2045|Guarda-Mor|MG|2044|3128600
2046|João Pinheiro|MG|2045|3136306
2047|Lagamar|MG|2046|3137106
2048|Lagoa Grande MG|MG|2047|3137536
2049|Paracatu|MG|2048|3147006
2050|Presidente Olegário|MG|2049|3153400
2051|São Gonçalo do Abaeté|MG|2050|3161700
