ID_UNIDADE_GESTORA|NOME_UNIDADE_GESTORA|CODIGO_MUNICIPIO_UNIDADE_GESTORA|NATUREZA_ORGAO|EXERCICIO|ULTIMA_ATUALIZACAO|SegmentoFiscalizador|ULTIMA_ATUALIZACAO_PESSOAL
1|Prefeitura Municipal de Abreu e Lima|P001|13|2012|2012-12-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2013|2013-12-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2014|2014-12-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2015|2015-10-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2016|2016-12-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2017|2017-12-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2018|2018-12-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2019|2019-12-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2020|2020-12-31T00:00:00|GEMN  |2020-10-31T00:00:00
1|Prefeitura Municipal de Abreu e Lima|P001|13|2021|2021-01-31T00:00:00|GEMN  |2020-10-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2012|2012-11-30T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2013|2013-12-31T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2014|2014-12-31T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2015|2015-10-31T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2016|2016-12-31T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2017|2017-12-31T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2018|2018-12-31T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2019|2019-12-31T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2020|2020-12-31T00:00:00|GEMN  |2020-12-31T00:00:00
2|Câmara Municipal de Abreu e Lima|P001|14|2021|2021-01-31T00:00:00|GEMN  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2012|2012-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2013|2013-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2014|2014-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2015|2015-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2016|2016-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2017|2017-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2018|2018-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2019|2019-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2020|2020-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
3|Prefeitura Municipal de Afogados da Ingazeira|P002|13|2021||IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2012|2012-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2013|2013-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2014|2014-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2015|2015-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2016|2016-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2017|2017-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2018|2018-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2019|2019-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2020|2020-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
4|Câmara Municipal de Afogados da Ingazeira|P002|14|2021|2021-01-31T00:00:00|IRAR  |2020-12-31T00:00:00
5|Autarquia Educacional de Afogados da Ingazeira|P002|5|2012|2012-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
5|Autarquia Educacional de Afogados da Ingazeira|P002|5|2013|2013-12-31T00:00:00|IRAR  |2020-12-31T00:00:00
