Codigo|Municipio|UG|Titulo|DataUltimaAuditoria|CodigoMunicipio|CodigoUG|LocalExecucao|DataInicial|AnoInicial|Prazo|NaturezaIntervencao|PrazoAditado|PrazoParalizacao
3266|Garanhuns|Prefeitura Municipal de Garanhuns|Contratação de empresa de engenharia para executar os serviços de Recapeamento Asfáltico em CBUQ em Vias Públicas no Município de Garanhuns /PE|2020-03-13T00:00:00|P062|247|Zona Urbana de Garanhuns|2018-04-19T00:00:00|2018|120|Revestimento em CBUQ||
3267|Garanhuns|Prefeitura Municipal de Garanhuns|Contratação de empresa de engenharia para executar os serviços de Implantação de pavimento em Paralelepípedo e drenagem em Vias Públicas no Município de Garanhuns,|2020-03-13T00:00:00|P062|247|Zona Urbana de Garanhuns|2018-09-05T00:00:00|2018|360|Revestimento em Paralelepípedos Graníticos||
3268|Garanhuns|Prefeitura Municipal de Garanhuns|Contratação de empresa de engenharia para executar os serviços de Implantação de pavimento em Paralelepípedo em Vias Públicas no Município de Garanhuns/PE|2020-03-13T00:00:00|P062|247|Zona Urbana de Garanhuns|2018-09-19T00:00:00|2018|240|Revestimento em Paralelepípedos Graníticos||
3269|Garanhuns|Prefeitura Municipal de Garanhuns|Contratação de empresa de engenharia para executar os serviços de Implantação de pavimento em Paralelepípedo e drenagem em Vias Públicas no Bairro Heliópolis no Município de Garanhuns|2020-03-13T00:00:00|P062|247|Zona Urbana de Garanhuns|2019-01-03T00:00:00|2019|360|Revestimento em Paralelepípedos Graníticos||
3271|Cedro|Prefeitura Municipal de Cedro|Destinação Final dos Resíduos Sólidos|2020-02-13T00:00:00|P045|185|Zona Rural e Urbana|2019-11-19T00:00:00|2019||Limpeza Urbana||
3272|Joaquim Nabuco|Prefeitura Municipal de Joaquim Nabuco|"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO DOS SERVIÇOS DE LOCAÇÃO DE EQUIPAMENTOS, MONTAGEM DE ESTRUTURA DE EVENTOS
"|2019-10-04T00:00:00|P086|341|Sede do município|||365|Estruturas||
3274|Joaquim Nabuco|Prefeitura Municipal de Joaquim Nabuco|Contratação de empresa especializada em locação de palco, Som,  Iluminação e gerador para apresentações artísticas no município|2019-10-04T00:00:00|P086|341|Sede do município||||Estruturas||
3277|Recife|Autarquia de Manutenção e Limpeza Urbana do Recife|Execução da Recuperação Estrutural da PONTE MOTOCOLOMBÓ|2020-10-07T00:00:00|P120|1655|Cidade de Recife - Bairro Afogados|2019-10-29T00:00:00|2019|570|Ponte||
3278|Bom Jardim|Secretaria de Educação e Esportes de Pernambuco|Contrato nº 282/2014-SEE - Prestação de Serviços Técnicos de Manutenção Preventiva e Corretiva com Fornecimento de Materiais na GRE Vale do Capibaribe|2020-03-13T00:00:00|P023|1814|Diversas Escolas|2015-01-16T00:00:00|2015|365|Escola|1460|
3278|João Alfredo|Secretaria de Educação e Esportes de Pernambuco|Contrato nº 282/2014-SEE - Prestação de Serviços Técnicos de Manutenção Preventiva e Corretiva com Fornecimento de Materiais na GRE Vale do Capibaribe|2020-03-13T00:00:00|P085|1814|Diversas Escolas|2015-01-16T00:00:00|2015|365|Escola|1460|
3278|Limoeiro|Secretaria de Educação e Esportes de Pernambuco|Contrato nº 282/2014-SEE - Prestação de Serviços Técnicos de Manutenção Preventiva e Corretiva com Fornecimento de Materiais na GRE Vale do Capibaribe|2020-03-13T00:00:00|P093|1814|Diversas Escolas|2015-01-16T00:00:00|2015|365|Escola|1460|
3278|Surubim|Secretaria de Educação e Esportes de Pernambuco|Contrato nº 282/2014-SEE - Prestação de Serviços Técnicos de Manutenção Preventiva e Corretiva com Fornecimento de Materiais na GRE Vale do Capibaribe|2020-03-13T00:00:00|P149|1814|Diversas Escolas|2015-01-16T00:00:00|2015|365|Escola|1460|
3278|Vertente do Lério|Secretaria de Educação e Esportes de Pernambuco|Contrato nº 282/2014-SEE - Prestação de Serviços Técnicos de Manutenção Preventiva e Corretiva com Fornecimento de Materiais na GRE Vale do Capibaribe|2020-03-13T00:00:00|P176|1814|Diversas Escolas|2015-01-16T00:00:00|2015|365|Escola|1460|
3295|Bom Conselho|Prefeitura Municipal de Bom Conselho|Contratação de empresa para execução dos serviços de pavimentação em paralelepípedo granítico na Rua XV de Novembro na cidade de Bom Conselho-PE, de acordo com contrato n° 1041606-15.|2020-02-14T00:00:00|P022|84|Sede do Município|2019-08-05T00:00:00|2019|150|Pavimentação||
3299|Recife|Autarquia de Trânsito e Transporte Urbano do Recife|Prestação de serviços de engenharia de tráfego para a gestão e manutenção preventiva e corretiva da rede semafórica na cidade do Recife.|2020-06-26T00:00:00|P120|1642|Cidade do Recife|2019-08-29T00:00:00|2019|365|Sinalização||
3301|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Reforma para implantação do Centro de Triagem e Tratamento para o Coronavírus - Dispensa nº 10/2020|2020-08-05T00:00:00|P083|319|Jardim Jordão - Jaboatão dos Guararapes|2020-04-10T00:00:00|2020|60|Posto de Saúde||
3302|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Readequação do local de higienização das viaturas do SAMU - Dispensa nº 11/2020|2020-08-05T00:00:00|P083|319|Sede do SAMU - Rua Jose Didier 300, Piedade|2020-04-14T00:00:00|2020|30|Edificação||
3303|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Construção de jazigos com gavetas no Cemitério Público Parque da Paz - Dispensa nº 33/2020|2020-08-05T00:00:00|P083|319|Rua do Cemitério, Muribeca|2020-05-21T00:00:00|2020|90|Cemitério||
3304|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Implantação de barreira de proteção e gradil no Parque da Cidade - Pregão Eletrônico nº 26/2020|2020-08-05T00:00:00|P083|319|Canteiro Central da Antiga BR 101 Sul KM 82,50 - Prazeres|2020-05-27T00:00:00|2020|30|Praça/Parque||
3305|São José do Egito|Prefeitura Municipal de São José do Egito|Locação de Trator de Esteira, para execução de serviços de limpeza, manutenção e construção de pequenas barragens de terra, limpeza de terrenos, construção de estradas vicinais, por período de 12 (doze) meses.|2020-06-12T00:00:00|P140|614|Zona rural|2019-04-28T00:00:00|2019|365|Locação de Equipamentos para Eventos||
3306|Cabo de Santo Agostinho|Prefeitura Municipal do Cabo de Santo Agostinho|Contratação de empresa especializada no fornecimento de estrutura para o Hospital de Campanha de Cabo de Santo Agostinho.|2020-04-15T00:00:00|P030|115|Rodovia PE - 60|2020-04-15T00:00:00|2020|90|Hospital||
3307|Recife|Secretaria de Educação e Esportes de Pernambuco|Contrato nº 276/2014-SEE - Prestação de Serviços Técnicos de Manutenção Preventiva e Corretiva com Fornecimento de Materiais na GRE Recife Norte|2020-12-18T00:00:00|P120|1814|Diversas escolas|2015-01-12T00:00:00|2015|365|Escola|1825|
3308|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Instalações elétricas para funcionamento de leitos de retaguarda e estabilização no CTTC - Dispensa nº 51/2020|2020-08-05T00:00:00|P083|319|Jaboatão dos Guararapes|2020-05-11T00:00:00|2020|60|Instalação Predial||
3309|Petrolina|Prefeitura Municipal de Petrolina|Contratação de empresa especializada para prestação de serviços de engenharia relativos à manutenção preventiva e corretiva da infraestrutura predial das Unidades de Saúde do Município|2019-10-31T00:00:00|P115|471|Petrolina sede|2019-06-14T00:00:00|2019|365|Posto de Saúde||
3313|Recife|Secretaria de Infraestrutura do Recife|contratação de empresa(s) especializada(s) na prestação de serviços por meio do uso e operação especial de Drones, com o intuito da intensificação de ações de fiscalização e monitoramento da cidade em pontos específicos com maior fluxo de pessoas para atender as necessidades da Secretaria de Infraestrutura, especialmente a SECRETARIA EXECUTIVA INOVAÇÃO URBANA no enfrentamento da emergência de saúde pública de importância internacional decorrente do COVID-19, dis- posta no Decreto Municipal nº 33|2020-05-01T00:00:00|P120|1821|Bairros do subúrbio de Recife|2020-04-14T00:00:00|2020|180|Consultoria||
3317|Recife|Secretaria de Saúde do Recife|Instalação de 07 (sete) módulos hospitalares provisórios em unidades da Secretaria de Saúde da Cidade do Recife específicos para combate à COVID 19|2020-08-11T00:00:00|P120|521|Recife/PE|2020-03-26T00:00:00|2020|120|Hospital||
3318|Olinda|Prefeitura Municipal de Olinda|Processo Licitatório nº 20/2020, Dispensa nº 09/2020|2020-06-09T00:00:00|P100|389|CAF|2020-04-16T00:00:00|2020|30|Hospital||
3319|Frei Miguelinho|Prefeitura Municipal de Frei Miguelinho|Condições do sistema de iluminação pública do distrito de Capivara, Frei Miguelinho - PE.|2020-08-03T00:00:00|P060|241|Distrito de Capivara, Frei Miguelinho||||Eletrificação Urbana||
3322|Camaragibe|Prefeitura Municipal de Camaragibe|Locação de veículos e máquinas|2020-09-08T00:00:00|P036|144|Camaragibe|2018-12-03T00:00:00|2018|360|Urbanização||
3324|Garanhuns|Prefeitura Municipal de Garanhuns|Contratação de empresa de engenharia para reforma de um edifício de saúde, para adequação de Centro de Especialidades Médicas e Imagem de Garanhuns - CESMIG, localizado no Bairro Francisco Simão dos Santos Figueira, no Município de Garanhuns/PE.|2020-07-01T00:00:00|P062|247|Zona Urbana de Garanhuns|2020-04-15T00:00:00|2020||Hospital||
3326|Afogados da Ingazeira|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial da rodovia PE-292, localizada no 5º Distrito Rodoviário de Pernambuco|2020-06-11T00:00:00|P002|857|PE-292|2020-05-08T00:00:00|2020|180|Rodovia||
3327|Arcoverde|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial das rodovias PE-217 e PE-270, localizadas no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-264, PE-265, PE-275 e PE-280, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-11T00:00:00|P013|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3327|Ingazeira|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial das rodovias PE-217 e PE-270, localizadas no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-264, PE-265, PE-275 e PE-280, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-11T00:00:00|P073|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3327|São José do Egito|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial das rodovias PE-217 e PE-270, localizadas no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-264, PE-265, PE-275 e PE-280, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-11T00:00:00|P140|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3327|Sertânia|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial das rodovias PE-217 e PE-270, localizadas no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-264, PE-265, PE-275 e PE-280, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-11T00:00:00|P145|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3327|Tuparetama|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial das rodovias PE-217 e PE-270, localizadas no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-264, PE-265, PE-275 e PE-280, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-11T00:00:00|P162|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3327|Venturosa|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial das rodovias PE-217 e PE-270, localizadas no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-264, PE-265, PE-275 e PE-280, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-11T00:00:00|P163|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
3328|Afogados da Ingazeira|Departamento de Estradas de Rodagem do Estado de Pernambuco|Execução das obras e serviços de engenharia - restauração emergencial da rodovia PE-244, localizada no 7º Distrito Rodoviário de Pernambuco, e das rodovias PE-418 e PE-320, localizadas no 5º Distrito Rodoviário de Pernambuco|2020-06-12T00:00:00|P002|857|Diversos|2020-05-11T00:00:00|2020|90|Rodovia||
