Conteudo|TipoPrazo|nr_processo|NomeUJDeterminacao|NomeUJPrincipalProcesso|ExercicioPrincipalProcesso|NomeRelator|Modalidade|Tipo|EsferaUJPrincipalProcesso|MunicipioUJPrincipalProcesso|StatusProcesso|Documento|AnoAcordaoParecer|DataSessaoJulgamento|HoraSessaoJulgamento|NomeColegiado|LinkProcesso|LinkDocumento|NumeroAcordaoParecer|dt_prazo|nr_prazo_dias
"<p>Fortalecer o controle sobre os procedimentos de registro dos fatos administrativos que t&amp;ecirc;m repercuss&amp;atilde;o no patrim&amp;ocirc;nio do munic&amp;iacute;pio, de modo que atendam &amp;agrave;s Normas Brasileiras de Contabilidade Aplicadas ao Setor P&amp;uacute;blico &amp;ndash; NBCASP editadas pelo Conselho Federal de Contabilidade;</p>
<br><p>Aprimorar a metodologia utilizada para or&amp;ccedil;ar a receita e para estimar e acompanhar sua arrecada&amp;ccedil;&amp;atilde;o, de forma a cumprir o art. 12 da LRF e a pr&amp;oacute;pria LDO do Munic&amp;iacute;pio;</p>
<br><p>Promover a&amp;ccedil;&amp;otilde;es com o objetivo de melhorar as receitas pr&amp;oacute;prias do munic&amp;iacute;pio;</p>
<br><p>Investir na melhoria de sistem&amp;aacute;tica de cobran&amp;ccedil;a administrativa e judicial, com o objetivo de regularizar a D&amp;iacute;vida Ativa do Munic&amp;iacute;pio;</p>
<br><p>Zelar pela confiabilidade das informa&amp;ccedil;&amp;otilde;es cont&amp;aacute;beis de modo que evidenciem a real situa&amp;ccedil;&amp;atilde;o patrimonial do Munic&amp;iacute;pio;</p>
<br><p>Publicar, no prazo legal, a programa&amp;ccedil;&amp;atilde;o financeira e cronograma mensal de desembolso, visando ao equil&amp;iacute;brio or&amp;ccedil;ament&amp;aacute;rio-financeiro do munic&amp;iacute;pio;</p>
<br><p>Efetuar o recolhimento integral das contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias devidas ao RGPS, de modo que ofere&amp;ccedil;a seguran&amp;ccedil;a jur&amp;iacute;dica ao conjunto dos segurados, evitando o pagamento indevido de encargos por atrasos nos recolhimentos.</p>
<br>"|Sem prazo|16100179-8|Prefeitura Municipal de Jataúba|Prefeitura Municipal de Jataúba|2015|CARLOS PORTO|Prestação de Contas|Governo|M |Jataúba|Transitado em Julgado - Julgado pelo Legislativo|Parecer Prévio|2018|2018-05-10|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100179&digito=8|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=A88EC11C-D8B1-45E7-805A-078A545DC7EF|||
"<p>a. Prever, na programa&amp;ccedil;&amp;atilde;o financeira, os desdobramentos das receitas previstas em metas bimestrais de arrecada&amp;ccedil;&amp;atilde;o;</p>

<p>b.Especificar, na programa&amp;ccedil;&amp;atilde;o financeira, as medidas relativas &amp;agrave; quantidade e valores de a&amp;ccedil;&amp;otilde;es ajuizadas para cobran&amp;ccedil;a da d&amp;iacute;vida ativa, bem como da evolu&amp;ccedil;&amp;atilde;o do montante dos cr&amp;eacute;ditos tribut&amp;aacute;rios pass&amp;iacute;veis de cobran&amp;ccedil;a administrativa;</p>

<p>c. Melhorar a previs&amp;atilde;o, no Anexo de Metas Fiscais, das receitas com vistas &amp;agrave; real capacidade de arrecada&amp;ccedil;&amp;atilde;o do Munic&amp;iacute;pio;</p>

<p>d. Arrecadar a receita de contribui&amp;ccedil;&amp;atilde;o para custeio de ilumina&amp;ccedil;&amp;atilde;o p&amp;uacute;blica &amp;ndash; COSIP;</p>

<p>e. Melhorar a arrecada&amp;ccedil;&amp;atilde;o da Receita Tribut&amp;aacute;ria Pr&amp;oacute;pria;</p>

<p>f. Melhorar a arrecada&amp;ccedil;&amp;atilde;o dos cr&amp;eacute;ditos inscritos em D&amp;iacute;vida Ativa;</p>

<p>g. Proceder o registro da provis&amp;atilde;o para perdas de D&amp;iacute;vida Ativa;</p>

<p>h. Evidenciar as disponibilidades por fonte/destina&amp;ccedil;&amp;atilde;o de recursos, de modo segregado, no Quadro do Super&amp;aacute;vit/D&amp;eacute;ficit Financeiro, do Balan&amp;ccedil;o Patrimonial;</p>

<p>i. Melhorar o controle cont&amp;aacute;bil das disponibilidades por fonte/destina&amp;ccedil;&amp;atilde;o de recursos;</p>

<p>j. Reconduzir o gasto com pessoal ao limite e per&amp;iacute;odo determinado pela LRF;</p>

<p>k. Recolher as contribui&amp;ccedil;&amp;otilde;es patronais ao RPPS;</p>

<p>l. Elaborar a avalia&amp;ccedil;&amp;atilde;o atuarial relativa ao ano base objeto desta presta&amp;ccedil;&amp;atilde;o de contas;</p>

<p>m. Melhorar o n&amp;iacute;vel de transpar&amp;ecirc;ncia do munic&amp;iacute;pio.</p>
<br>"|Sem prazo|16100181-6|Prefeitura Municipal de Solidão|Prefeitura Municipal de Solidão|2015|CARLOS PORTO|Prestação de Contas|Governo|M |Solidão|Transitado em Julgado - Julgado pelo Legislativo|Parecer Prévio|2018|2018-12-13|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100181&digito=6|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=547E3BB6-3C2E-43E9-B9AD-B55C2391E46B|||
"<p>Acompanhe&amp;nbsp;a solidez do RPPS, evitando a ocorr&amp;ecirc;ncia de resultados deficit&amp;aacute;rios crescentes, de modo que o regime ofere&amp;ccedil;a seguran&amp;ccedil;a jur&amp;iacute;dica ao conjunto dos segurados do sistema, bem como garanta ao munic&amp;iacute;pio a aus&amp;ecirc;ncia de forma&amp;ccedil;&amp;atilde;o de passivos futuros capazes de afetar o equil&amp;iacute;brio de suas contas e o cumprimento das metas fiscais;</p>
<br><p dir=""ltr"">Providencie&amp;nbsp;o recolhimento tempestivo das contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias;</p>
<br><p>Utilize&amp;nbsp;a Lei Or&amp;ccedil;ament&amp;aacute;ria como verdadeiro instrumento de planejamento Municipal e apresente&amp;nbsp;os montantes previstos para arrecada&amp;ccedil;&amp;atilde;o das receitas, da fixa&amp;ccedil;&amp;atilde;o das despesas e opera&amp;ccedil;&amp;otilde;es de cr&amp;eacute;dito;</p>
<br><p>Zele&amp;nbsp;pela confiabilidade das informa&amp;ccedil;&amp;otilde;es cont&amp;aacute;beis, de modo que evidenciem a real situa&amp;ccedil;&amp;atilde;o financeira e patrimonial do munic&amp;iacute;pio, elaborando os demonstrativos em conson&amp;acirc;ncia com as normas vigentes;</p>
<br><p>Observe a necessidade de evidencia&amp;ccedil;&amp;atilde;o no Balan&amp;ccedil;o Financeiro dos aportes que dever&amp;atilde;o ser necess&amp;aacute;rios nos pr&amp;oacute;ximos exerc&amp;iacute;cios para garantir a cobertura de d&amp;eacute;ficits do Plano Financeiro do RPPS;</p>
<br><p>Atente para os documentos exigidos em Resolu&amp;ccedil;&amp;atilde;o pelo TCE/PE,&amp;nbsp;para instruir as presta&amp;ccedil;&amp;otilde;es de contas anuais;</p>
<br><p>Atente para as exig&amp;ecirc;ncias quanto &amp;agrave; forma de apresenta&amp;ccedil;&amp;atilde;o e conte&amp;uacute;do dos novos demonstrativos cont&amp;aacute;beis exigidos pela STN, atrav&amp;eacute;s do MCASP, e desta egr&amp;eacute;gia Corte de Contas, particularmente, com rela&amp;ccedil;&amp;atilde;o &amp;agrave; evidencia&amp;ccedil;&amp;atilde;o das receitas e despesas por fonte / destina&amp;ccedil;&amp;atilde;o de recursos, &amp;agrave; inclus&amp;atilde;o de todos os quadros principais e secund&amp;aacute;rios exigidos e das Notas Explicativas, incluindo o uso de quadros referenciados para um melhor detalhamento dos grupos de contas que devem acompanhar as respectivas demonstra&amp;ccedil;&amp;otilde;es cont&amp;aacute;beis.</p>
<br>"|Sem prazo|16100184-1|Prefeitura Municipal de Olinda|Prefeitura Municipal de Olinda|2015|CARLOS PORTO|Prestação de Contas|Governo|M |Olinda|Transitado em Julgado - Julgado pelo Legislativo|Parecer Prévio|2018|2018-03-15|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100184&digito=1|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=FA953E0E-FA37-4AD7-87AF-FD1A723E29B0|||
"<p>a) Elaborar a programa&amp;ccedil;&amp;atilde;o financeira e o cronograma mensal de desembolsos, de modo a disciplinar o fluxo de caixa, visando o controle do gasto p&amp;uacute;blico, frente a eventuais frustra&amp;ccedil;&amp;otilde;es na arrecada&amp;ccedil;&amp;atilde;o da receita, evitando, assim, um d&amp;eacute;ficit de execu&amp;ccedil;&amp;atilde;o or&amp;ccedil;ament&amp;aacute;ria;</p>

<p>&amp;nbsp;</p>

<p>b) Observar fidedignamente, o preceptivo do art. 12 da LRF, quando das previs&amp;otilde;es or&amp;ccedil;ament&amp;aacute;rias da receita, de forma a garantir a consist&amp;ecirc;ncia de tais previs&amp;otilde;es, levando em apre&amp;ccedil;o o montante de receitas que realmente vem sendo realizado em exerc&amp;iacute;cios pret&amp;eacute;ritos;</p>

<p>&amp;nbsp;</p>

<p>c) Implementar a&amp;ccedil;&amp;otilde;es efetivas visando reduzir o relevante d&amp;eacute;ficit financeiro existente, que pode comprometer os exerc&amp;iacute;cios seguintes (itens 3.2 e 3.4.1);</p>

<p>&amp;nbsp;</p>

<p>d) Realizar os procedimentos administrativos e cont&amp;aacute;beis devidos, quanto &amp;agrave; correta quantifica&amp;ccedil;&amp;atilde;o, avalia&amp;ccedil;&amp;atilde;o e efetiva cobran&amp;ccedil;a da D&amp;iacute;vida Ativa, inclusive quanto a&amp;nbsp;medidas judiciais, se for o caso (itens 2.3 e 3.3.1);</p>

<p>&amp;nbsp;</p>

<p>e) &amp;nbsp;Adotar medidas de controle, com a finalidade de evitar a Inscri&amp;ccedil;&amp;atilde;o de Restos a Pagar n&amp;atilde;o Processados a serem custeados com recursos vinculados e n&amp;atilde;o vinculados, sem a devida disponibilidade de caixa (Item 3.4.1);</p>

<p>&amp;nbsp;</p>

<p>f) Recolher integral e tempestivamente as contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias, evitando a ocorr&amp;ecirc;ncia de resultados deficit&amp;aacute;rios, zelando pela solidez dos regimes, de modo que ofere&amp;ccedil;am seguran&amp;ccedil;a jur&amp;iacute;dica ao conjunto dos segurados, garantindo ao munic&amp;iacute;pio a aus&amp;ecirc;ncia de forma&amp;ccedil;&amp;atilde;o de passivos futuros capazes de afetar o equil&amp;iacute;brio de suas contas e o cumprimento das metas fiscais.</p>
<br>"|Sem prazo|16100186-5|Prefeitura Municipal de Itaíba|Prefeitura Municipal de Itaíba|2015|CARLOS PORTO|Prestação de Contas|Governo|M |Itaíba|Transitado em Julgado após Recursos|Parecer Prévio|2018|2018-12-11|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100186&digito=5|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=75E6506C-C03A-4C22-8F5D-029731B8F30B|||
"<p>Atentar para o procedimento de c&amp;aacute;lculo de previs&amp;atilde;o da receita, que deve pautar-se por indicadores reais e atualizados, de modo a evitar o estabelecimento de valores superestimados, a fim de que a execu&amp;ccedil;&amp;atilde;o das despesas seja realizada baseada numa expectativa real de arrecada&amp;ccedil;&amp;atilde;o que garanta o devido suporte financeiro dos compromissos firmados, evitando, assim, o endividamento e, consequentemente, a deteriora&amp;ccedil;&amp;atilde;o da sa&amp;uacute;de fiscal do munic&amp;iacute;pio;</p>
<br><p>Aprimorar os procedimentos relacionados &amp;agrave; qualidade da informa&amp;ccedil;&amp;atilde;o disponibilizada ao cidad&amp;atilde;o, com vista ao melhoramento do &amp;Iacute;ndice de Transpar&amp;ecirc;ncia Municipal, para que a popula&amp;ccedil;&amp;atilde;o tenha acesso aos principais dados e informa&amp;ccedil;&amp;otilde;es da gest&amp;atilde;o municipal de forma satisfat&amp;oacute;ria;</p>
<br><p>Adotar as medidas necess&amp;aacute;rias junto &amp;agrave; Procuradoria Municipal ou outro competente, com vistas &amp;agrave; operacionaliza&amp;ccedil;&amp;atilde;o das cobran&amp;ccedil;as dos cr&amp;eacute;ditos inscritos em D&amp;iacute;vida Ativa, como forma de incrementar a arrecada&amp;ccedil;&amp;atilde;o dos tributos municipais, garantindo a devida liquidez e tempestividade na cobran&amp;ccedil;a dos tributos;</p>
<br><p>Atentar para o recolhimento das contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias junto ao RGPS, bem como do RPPS, garantindo a adimpl&amp;ecirc;ncia do munic&amp;iacute;pio junto &amp;agrave; Previd&amp;ecirc;ncia Social, evitando, assim, o comprometimento de receitas futuras com o pagamento de d&amp;iacute;vidas previdenci&amp;aacute;rias em fun&amp;ccedil;&amp;atilde;o de obriga&amp;ccedil;&amp;otilde;es n&amp;atilde;o honradas no seu devido tempo, a fim de que seja preservada a capacidade de investimento do munic&amp;iacute;pio nas a&amp;ccedil;&amp;otilde;es mais urgentes e priorit&amp;aacute;rias requeridas pela popula&amp;ccedil;&amp;atilde;o;&amp;nbsp;</p>
<br><p>Organizar a contabilidade de forma a permitir o acompanhamento dos fatos decorrentes ou n&amp;atilde;o da execu&amp;ccedil;&amp;atilde;o or&amp;ccedil;ament&amp;aacute;ria e a an&amp;aacute;lise e interpreta&amp;ccedil;&amp;atilde;o dos resultados econ&amp;ocirc;micos e financeiros;&amp;nbsp;</p>
<br><p>Adotar os processos de trabalho necess&amp;aacute;rios ao devido monitoramento da execu&amp;ccedil;&amp;atilde;o or&amp;ccedil;ament&amp;aacute;ria, a fim de que seja evitada a ocorr&amp;ecirc;ncia de d&amp;eacute;ficit or&amp;ccedil;ament&amp;aacute;rio, de modo que a execu&amp;ccedil;&amp;atilde;o da despesa atenda aos limites da receita arrecadada, preservando o equil&amp;iacute;brio or&amp;ccedil;ament&amp;aacute;rio assim como o endividamento desnecess&amp;aacute;rio do Munic&amp;iacute;pio;&amp;nbsp;</p>
<br><p>Aprimorar o controle cont&amp;aacute;bil por fontes/destina&amp;ccedil;&amp;atilde;o de recursos a fim de que sejam obedecidos os saldos de cada conta, evitando, assim, a realiza&amp;ccedil;&amp;atilde;o de despesas sem lastro financeiro, de modo a preservar o equil&amp;iacute;brio financeiro e fiscal do Munic&amp;iacute;pio;</p>
<br><p>Adotar medidas urgentes quanto &amp;agrave; redu&amp;ccedil;&amp;atilde;o da Despesa Total com Pessoal, em virtude dos altos patamares registrados por esta despesa e do tempo em que a Prefeitura Municipal de Quipap&amp;aacute;&amp;nbsp;j&amp;aacute; vem extrapolando o limite permitido, com vistas &amp;agrave; recondu&amp;ccedil;&amp;atilde;o do gasto ao n&amp;iacute;vel estabelecido pela legisla&amp;ccedil;&amp;atilde;o, a partir de uma reestrutura&amp;ccedil;&amp;atilde;o de todo o aparato administrativo, sobretudo na &amp;aacute;rea de pessoal (Cargos em Comiss&amp;atilde;o e Contrata&amp;ccedil;&amp;otilde;es Tempor&amp;aacute;rias), a fim de que seja reestabelecida a sa&amp;uacute;de fiscal do Munic&amp;iacute;pio;</p>
<br><p>&amp;nbsp;Abster-se de realizar inscri&amp;ccedil;&amp;otilde;es em Restos a Pagar sem a correspondente disponibilidade de caixa que garanta o devido suporte financeiro aos compromissos firmados;</p>
<br><p>Elaborar a Lei de Diretrizes Or&amp;ccedil;ament&amp;aacute;rias (LDO) com os requisitos exigidos pela Constitui&amp;ccedil;&amp;atilde;o Federal e Lei de Responsabilidade Fiscal (LRF), tendo em vista orientar adequadamente a Lei Or&amp;ccedil;ament&amp;aacute;ria Anual (LOA).</p>
<br>"|Sem prazo|16100187-7|Prefeitura Municipal de Quipapá|Prefeitura Municipal de Quipapá|2015|CARLOS PIMENTEL|Prestação de Contas|Governo|M |Quipapá|Transitado em Julgado após Recursos - Aguardando Julgamento do Legislativo|Parecer Prévio|2019|2019-04-16|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100187&digito=7|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=DB468905-3D40-4ABE-B723-397BE3F46AE8|||
"<p align=""justify""><font face=""Courier New, serif""><font size=""3"">Elaborar a programa&amp;ccedil;&amp;atilde;o financeira e o cronograma mensal de desembolsos, de modo a disciplinar o fluxo de caixa, visando o controle do gasto p&amp;uacute;blico, frente a eventuais frustra&amp;ccedil;&amp;otilde;es na arrecada&amp;ccedil;&amp;atilde;o da receita, evitando, assim, um deficit de execu&amp;ccedil;&amp;atilde;o or&amp;ccedil;ament&amp;aacute;ria;</font></font></p>
<br><p align=""justify""><font size=""2""><font face=""Courier New, monospace""><font size=""3"">Repassar as contribui&amp;ccedil;&amp;otilde;es previdenci&amp;aacute;rias para o</font></font><font face=""Courier New, monospace""><font size=""3"">s regimes de previd&amp;ecirc;ncia de </font></font><font face=""Courier New, monospace""><font size=""3"">forma tempestiva, evitando forma&amp;ccedil;&amp;atilde;o de passivos para os futuros gestores;</font></font></font></p>
<br><p align=""justify""><font size=""2""><font face=""Courier New, serif""><font size=""3"">A</font></font><font face=""Courier New, monospace""><font size=""3"">dotar mecanismos de controle que permitam o acompanhamento das despesas com pessoal permanente, para evitar extrapola&amp;ccedil;&amp;atilde;o dos limites das despesas com pessoal, com vistas a atender </font></font><font face=""Courier New, monospace""><font size=""3"">a</font></font><font face=""Courier New, monospace""><font size=""3"">o art. 20, </font></font><font face=""Courier New, monospace""><font size=""3"">inciso III, al&amp;iacute;nea b</font></font><font face=""Courier New, monospace""><font size=""3""> da LRF;</font></font></font></p>
<br><p align=""justify""><font size=""3""><font face=""Courier New, monospace"">D</font><font face=""Courier New"">isponibilizar informa&amp;ccedil;&amp;otilde;es na internet, em conformidade com a Lei de Acesso &amp;agrave; Informa&amp;ccedil;&amp;atilde;o;</font></font></p>
<br><p align=""justify""><font size=""2""><font face=""Courier New""><font size=""3"">A</font></font><font face=""Courier New""><font size=""3"">dotar medidas de controle, com a finalidade de evitar a realiza&amp;ccedil;&amp;atilde;o de despesas com recursos or&amp;ccedil;ament&amp;aacute;rios do FUNDEB sem lastro financeiro;</font></font></font></p>
<br><p align=""justify""><font size=""2""><font face=""Courier New, monospace""><font size=""3"">Realizar um levantamento no sentido de identificar os principais riscos e dificuldades encontradas na cobran&amp;ccedil;a da d&amp;iacute;vida ativa </font></font><font face=""Courier New, monospace""><font size=""3"">e do IPTU</font></font><font face=""Courier New, monospace""><font size=""3"">, de modo a estabelecer medidas com o objetivo de melhorar seus indicadores e aumentar suas receitas pr&amp;oacute;prias;</font></font></font></p>
<br>"|Sem prazo|16100188-9|Prefeitura Municipal de Palmeirina|Prefeitura Municipal de Palmeirina|2015|DIRCEU RODOLFO DE MELO JÚNIOR|Prestação de Contas|Governo|M |Palmeirina|Transitado em Julgado - Em Análise do Julgamento do Legislativo|Parecer Prévio|2018|2018-04-10|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100188&digito=9|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=AB48BE7F-8BA7-4003-9D84-2BB08B357698|||
"Atentar para a inclusão, nas prestações de contas anuais, de todos os demonstrativos exigidos, fazendo constar neles todas as informações solicitadas nas resoluções do TCE que regulamentam a matéria;<br>Atentar para a apresentação do inventário de bens móveis com todos os elementos essenciais previstos nos normativos ;
<br>"|Sem prazo|16100189-0|Secretaria de Imprensa de Pernambuco|Secretaria de Imprensa de Pernambuco|2015|MARCOS LORETO|Prestação de Contas|Gestão|E |Recife|Transitado em julgado|Acórdão|2016|2016-12-13|10:00:00|2ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100189&digito=0|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=484D62A3-ECB8-48CE-A49C-16EAFCB8F867|1382||
Adotar providências com vistas à correção das divergências de valores apresentados no Mapa Demonstrativo dos Bens Imóveis e os constantes no Balanço Patrimonial (Item 2.1.4 do Relatório de Auditoria).<br>|Sem prazo|16100191-9|Procuradoria Geral do Estado de Pernambuco|Procuradoria Geral do Estado de Pernambuco|2015|TERESA DUERE|Prestação de Contas|Gestão|E |Recife|Transitado em julgado|Acórdão|2017|2017-11-14|10:00:00|1ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100191&digito=9|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=1A149FA2-2993-45E0-B1DE-41E5F9FC2398|1264||
"<p>Observar o disposto na Resolu&amp;ccedil;&amp;atilde;o TC n&amp;ordm;&amp;nbsp;23/2015, que trata dos documentos e informa&amp;ccedil;&amp;otilde;es que devem integrar a presta&amp;ccedil;&amp;atilde;o de contas anual A1.1);&amp;nbsp;</p>
<br><p>N&amp;atilde;o realizar contrata&amp;ccedil;&amp;otilde;es diretas com dispensas de licita&amp;ccedil;&amp;atilde;o, sem o amparo legal, provocadas pela falta de planejamento tempestivo na realiza&amp;ccedil;&amp;atilde;o dos devidos processos licitat&amp;oacute;rios (A3.1);&amp;nbsp;</p>
<br><p>A Diretoria do HAM deve agir de modo mais efetivo e eficaz, junto &amp;agrave; SES/PE, quanto &amp;agrave;s provid&amp;ecirc;ncias para a realiza&amp;ccedil;&amp;atilde;o de concurso p&amp;uacute;blico para provimento de cargos, a fim de resolver o problema da insufici&amp;ecirc;ncia no quadro de pessoal do hospital.&amp;nbsp;</p>
<br><p>N&amp;atilde;o adquirir os mesmos itens com varia&amp;ccedil;&amp;otilde;es significativas de pre&amp;ccedil;os e sem respaldo licitat&amp;oacute;rio (A3.2)</p>
<br>"|Sem prazo|16100196-8|Hospital Agamenon Magalhães|Hospital Agamenon Magalhães|2015|RANILSON RAMOS|Prestação de Contas|Gestão|E |Recife|Transitado em julgado|Acórdão|2018|2018-10-18|10:00:00|1ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100196&digito=8|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=77ABB726-E022-4B20-901B-848D4B4A761E|1284||
"<p>Implementar esfor&amp;ccedil;os no sentido de implantar o &amp;oacute;rg&amp;atilde;o setorial de patrim&amp;ocirc;nio e materiais no &amp;acirc;mbito da Secretaria de Sa&amp;uacute;de, para o exerc&amp;iacute;cio da compet&amp;ecirc;ncia institu&amp;iacute;da pelo Decreto n&amp;ordm; 38.875/2012, artigos 4&amp;ordm;, I, II e &amp;sect;&amp;sect;1&amp;ordm; a 3&amp;ordm;.</p>
<br>"|Sem prazo|16100197-0|Secretaria de Saúde de Pernambuco|Secretaria de Saúde de Pernambuco|2015|RANILSON RAMOS|Prestação de Contas|Gestão|E |Recife|Transitado em julgado|Acórdão|2019|2019-02-07|10:00:00|1ª Câmara|http://etce.tce.pe.gov.br/epp/ConsultaExternaTCE/listView.seam?cprc=16100197&digito=0|http://etce.tce.pe.gov.br/epp/validaDoc.seam?cod=1AECF714-80F6-455F-BA09-BA58801D6235|107||
